LoksabhaName,VidhansabhaName,LocalUnitName,LocalUnitType
Tonk-Sawaimadhopur,Sawai Madhopur,14,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,15,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,16,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,17,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,18,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,19,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,20,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,21,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,22,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,23,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,24,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,25,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,26,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,27,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,28,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,29,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,30,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,31,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,32,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,33,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,34,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,35,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,36,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,37,Ward
Tonk-Sawaimadhopur,Sawai Madhopur,38,Ward
